scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,amc_name,rating,sub_category,returns_1yr,Average_Returns,risk_level_2,risk_level_3,risk_level_4,risk_level_5,risk_level_6,category_Equity,category_Hybrid,category_Other,category_Solution Oriented
Baroda BNP Paribas ELSS Fund,500,500,1.12,651.0,10,Sanjay Chawla,2.92,-0.94,14.42,0.83,1.29,Baroda BNP Paribas Mutual Fund,3,ELSS Mutual Funds,-2.4,9.5,False,False,False,False,True,True,False,False,False
Baroda BNP Paribas Equity Savings Fund,500,5000,1.45,250.0,4,Pratish Krishnan,2.42,0.25,4.91,0.73,1.12,Baroda BNP Paribas Mutual Fund,3,Equity Savings Mutual Funds,3.7,6.75,False,False,True,False,False,False,True,False,False
Baroda BNP Paribas Focused Fund,300,5000,0.67,299.0,5,Sanjay Chawla,2.96,-1.21,14.73,0.85,1.27,Baroda BNP Paribas Mutual Fund,3,Focused Funds,0.5,11.166666666666666,False,False,False,False,True,True,False,False,False
Baroda BNP Paribas Gilt Fund,500,5000,0.14,138.0,10,Mayank Prakash,0.34,0.07,2.89,0.66,0.28,Baroda BNP Paribas Mutual Fund,2,Gilt Mutual Funds,3.7,5.133333333333334,False,True,False,False,False,False,False,False,False
Baroda BNP Paribas India Consumption Fund,300,5000,0.81,880.0,5,Shiv Chanani,3.08,2.41,13.62,0.71,1.38,Baroda BNP Paribas Mutual Fund,3,Sectoral / Thematic Mutual Funds,5.2,14.25,False,False,False,False,True,True,False,False,False
Baroda BNP Paribas Large Cap Fund,300,5000,0.94,1347.0,10,Jitendra Sriram,2.71,-0.18,14.57,0.86,1.32,Baroda BNP Paribas Mutual Fund,4,Large Cap Mutual Funds,3.0,13.1,False,False,False,False,True,True,False,False,False
Baroda BNP Paribas Liquid Fund,500,5000,0.19,6686.0,10,Vikram Pamnani,4.11,1.32,0.38,0.72,0.93,Baroda BNP Paribas Mutual Fund,5,Liquid Mutual Funds,5.7,5.166666666666667,True,False,False,False,False,False,False,False,False
Baroda BNP Paribas Low Duration Fund,300,5000,0.39,175.0,10,Mayank Prakash,2.55,3.17,0.96,1.28,1.51,Baroda BNP Paribas Mutual Fund,3,Low Duration Funds,5.0,5.833333333333333,False,True,False,False,False,False,False,False,False
Baroda BNP Paribas Medium Duration Fund,300,5000,0.69,37.0,9,Mayank Prakash,0.42,0.42,2.34,1.16,0.32,Baroda BNP Paribas Mutual Fund,2,Medium Duration Funds,3.9,4.133333333333334,False,True,False,False,False,False,False,False,False
Baroda BNP Paribas Mid Cap Fund,300,5000,0.59,1192.0,10,Shiv Chanani,3.35,1.31,15.92,0.86,1.67,Baroda BNP Paribas Mutual Fund,3,Mid Cap Mutual Funds,2.4,15.533333333333333,False,False,False,False,True,True,False,False,False
Baroda BNP Paribas Money Market Fund,500,5000,0.2,111.0,4,Vikram Pamnani,0.91,1.72,0.46,1.15,0.38,Baroda BNP Paribas Mutual Fund,2,Money Market Funds,5.0,4.55,True,False,False,False,False,False,False,False,False
Baroda BNP Paribas Multi Cap Fund,500,5000,1.1,1628.0,10,Sanjay Chawla,3.05,2.11,16.27,0.9,1.44,Baroda BNP Paribas Mutual Fund,2,Multi Cap Funds,-1.7,13.133333333333335,False,False,False,False,True,True,False,False,False
Baroda BNP Paribas Overnight Fund,500,5000,0.08,423.0,4,Vikram Pamnani,0.32,0.62,0.34,0.45,0.05,Baroda BNP Paribas Mutual Fund,3,Overnight Mutual Funds,5.4,4.65,False,False,False,False,False,False,False,False,False
Baroda BNP Paribas Short Duration Fund,500,5000,0.37,235.0,10,Prashant Pimple,1.23,3.6,1.75,1.55,0.88,Baroda BNP Paribas Mutual Fund,3,Short Duration Funds,4.2,5.533333333333334,False,True,False,False,False,False,False,False,False
Baroda BNP Paribas Ultra Short Duration Fund,500,5000,0.22,560.0,5,Vikram Pamnani,3.14,2.59,0.53,1.24,1.77,Baroda BNP Paribas Mutual Fund,3,Ultra Short Duration Funds,5.7,5.4,True,False,False,False,False,False,False,False,False
BHARAT Bond FOF – April 2025 – Direct Growth,500,1000,0.06,3912.0,3,Dhawal Dalal,-,-,-,-,-,Edelweiss Mutual Fund,2,FoFs Domestic,2.6,2.6,True,False,False,False,False,False,False,True,False
Canara Robeco Bluechip Equity Fund,1000,5000,0.48,8672.0,10,Shridatta Bhandwaldar,3.07,0.16,14.97,0.89,1.35,Canara Robeco Mutual Fund,5,Large Cap Mutual Funds,1.7,13.466666666666667,False,False,False,False,True,True,False,False,False
Canara Robeco Conservative Hybrid Fund,1000,5000,0.57,1069.0,10,Avnish Jain,3.41,2.59,3.98,0.6,1.74,Canara Robeco Mutual Fund,5,Conservative Hybrid Mutual Funds,3.8,8.200000000000001,False,False,True,False,False,False,True,False,False
Canara Robeco Consumer Trends Fund,1000,5000,1.0,935.0,10,Shridatta Bhandwaldar,3.47,4.63,14.66,0.74,1.48,Canara Robeco Mutual Fund,4,Sectoral / Thematic Mutual Funds,7.1,16.3,False,False,False,False,True,True,False,False,False
Canara Robeco Corporate Bond Fund,1000,5000,0.39,191.0,9,Avnish Jain,1.35,1.33,1.81,0.77,0.85,Canara Robeco Mutual Fund,3,Corporate Bond Mutual Funds,4.0,5.566666666666666,True,False,False,False,False,False,False,False,False
Canara Robeco Dynamic Bond Fund,1000,5000,0.66,116.0,10,Kunal Jain,0.64,0.74,2.17,1.02,0.47,Canara Robeco Mutual Fund,3,Dynamic Bond,4.7,5.533333333333334,False,True,False,False,False,False,False,False,False
Canara Robeco Emerging Equities – Direct Growth,1000,5000,0.6,15261.0,10,Shridatta Bhandwaldar,3.36,2.48,15.69,0.89,1.47,Canara Robeco Mutual Fund,3,Large & Mid Cap Funds,-0.2,13.133333333333333,False,False,False,False,True,True,False,False,False
Canara Robeco Equity Hybrid Fund,1000,5000,0.63,8235.0,10,Shridatta Bhandwaldar,3.25,1.49,11.27,0.78,1.4,Canara Robeco Mutual Fund,4,Aggressive Hybrid Mutual Funds,1.8,11.366666666666667,False,False,False,False,True,False,True,False,False
Canara Robeco Equity Tax Saver Fund,500,500,0.64,4685.0,10,Vishal Mishra,3.08,2.7,15.37,0.87,1.51,Canara Robeco Mutual Fund,5,ELSS Mutual Funds,1.2,14.799999999999999,False,False,False,False,True,True,False,False,False
Canara Robeco Flexi Cap Fund,1000,5000,0.55,8630.0,10,Shridatta Bhandwaldar,2.84,0.32,14.9,0.87,1.39,Canara Robeco Mutual Fund,4,Flexi Cap Funds,-0.9,12.566666666666668,False,False,False,False,True,True,False,False,False
Canara Robeco Gilt Fund,1000,5000,0.54,80.0,10,Kunal Jain,0.55,0.47,2.52,0.55,0.43,Canara Robeco Mutual Fund,3,Gilt Mutual Funds,4.3,5.466666666666666,False,True,False,False,False,False,False,False,False
Canara Robeco Income Fund,1000,5000,0.75,125.0,10,Avnish Jain,0.69,0.87,2.74,1.32,0.45,Canara Robeco Mutual Fund,3,Medium to Long Duration Funds,3.9,5.566666666666666,False,True,False,False,False,False,False,False,False
Canara Robeco Infrastructure – Direct Growth,1000,5000,1.32,247.0,10,Shridatta Bhandwaldar,3.99,10.9,16.53,0.59,1.8,Canara Robeco Mutual Fund,3,Sectoral / Thematic Mutual Funds,13.7,20.266666666666666,False,False,False,False,True,True,False,False,False
Canara Robeco Liquid Fund,1000,5000,0.11,2548.0,10,Kunal Jain,3.04,1.07,0.39,0.66,0.47,Canara Robeco Mutual Fund,2,Liquid Mutual Funds,5.6,4.933333333333333,True,False,False,False,False,False,False,False,False
Canara Robeco Overnight Fund,0,5000,0.1,216.0,4,Suman Prasad,0.03,0.61,0.34,0.45,0,Canara Robeco Mutual Fund,2,Overnight Mutual Funds,5.3,4.6,False,False,False,False,False,False,False,False,False
Canara Robeco Savings Fund,1000,5000,0.31,1003.0,10,Kunal Jain,2.24,2.64,0.77,1.33,1.12,Canara Robeco Mutual Fund,2,Low Duration Funds,5.0,5.366666666666667,True,False,False,False,False,False,False,False,False
Canara Robeco Short Duration Fund,1000,5000,0.47,520.0,10,Suman Prasad,1.68,3.98,1.59,1.95,0.87,Canara Robeco Mutual Fund,3,Short Duration Funds,4.1,5.5,True,False,False,False,False,False,False,False,False
Canara Robeco Small Cap Fund,1000,5000,0.47,4831.0,4,Shridatta Bhandwaldar,4.62,12.23,17.75,0.79,2.17,Canara Robeco Mutual Fund,5,Small Cap Mutual Funds,-0.6,25.599999999999998,False,False,False,False,True,True,False,False,False
Canara Robeco Ultra Short Term Fund,500,500,0.4,565.0,10,Suman Prasad,2.11,1.82,0.51,1.04,0.84,Canara Robeco Mutual Fund,2,Ultra Short Duration Funds,5.2,5.0,True,False,False,False,False,False,False,False,False
DSP Arbitrage Fund,500,500,0.35,1238.0,5,Kedar Karnik,1.08,1.45,0.72,0.64,0.82,DSP Mutual Fund,3,Arbitrage Mutual Funds,5.6,5.2,False,False,False,False,False,False,True,False,False
DSP Banking & Psu Debt Fund,500,500,0.33,2463.0,10,Vikram Chopra,1.59,4.78,1.87,2.4,0.84,DSP Mutual Fund,3,Banking and PSU Mutual Funds,4.0,5.766666666666667,True,False,False,False,False,False,False,False,False
DSP Bond Fund,500,500,0.39,333.0,10,Vivek Ramakrishnan,0.98,1.17,2.36,1.02,0.62,DSP Mutual Fund,3,Medium Duration Funds,3.8,4.933333333333333,False,True,False,False,False,False,False,False,False
DSP Corporate Bond Fund,500,500,0.25,2065.0,5,Vivek Ramakrishnan,0.59,0.76,2.16,0.73,0.45,DSP Mutual Fund,2,Corporate Bond Mutual Funds,2.6,4.1,False,True,False,False,False,False,False,False,False
DSP Credit Risk Fund,500,500,0.38,210.0,10,Laukik Bagwe,1.23,2.84,4.32,0.26,0.58,DSP Mutual Fund,3,Credit Risk Funds,10.8,7.3,False,False,True,False,False,False,False,False,False
DSP Dynamic Asset Allocation Fund,500,500,0.71,3770.0,9,Atul Bhole,2.7,-0.92,8.62,0.53,1.03,DSP Mutual Fund,3,Dynamic Asset Allocation or Balanced Advantage,1.7,7.3999999999999995,False,False,False,True,False,False,True,False,False
DSP Equity & Bond Fund,500,500,0.78,7358.0,10,Atul Bhole,2.7,0.51,12.7,0.83,1.25,DSP Mutual Fund,3,Aggressive Hybrid Mutual Funds,0.6,10.0,False,False,False,False,True,False,True,False,False
DSP Equity Opportunities Fund,500,500,0.91,7110.0,10,Rohit Singhania,2.87,1.89,16.6,0.93,1.4,DSP Mutual Fund,3,Large & Mid Cap Funds,3.2,15.5,False,False,False,False,True,True,False,False,False
DSP Equity Savings Fund,500,500,0.4,535.0,7,Kedar Karnik,3.55,4.83,6.37,0.88,1.75,DSP Mutual Fund,2,Equity Savings Mutual Funds,4.0,8.8,False,False,True,False,False,False,True,False,False
DSP Flexi Cap Fund,500,500,0.76,7725.0,10,Atul Bhole,2.56,-1.47,16.67,0.93,1.23,DSP Mutual Fund,3,Flexi Cap Funds,-0.1,11.566666666666668,False,False,False,False,True,True,False,False,False
DSP Floater Fund,500,500,0.24,983.0,2,Kedar Karnik,-,-,-,-,-,DSP Mutual Fund,1,Floater Mutual Funds,4.4,4.4,True,False,False,False,False,False,False,False,False
DSP Focus Fund,500,500,1.08,1784.0,10,Vinit Sambre,2.4,-2.77,16.44,0.9,1.11,DSP Mutual Fund,2,Focused Funds,-1.7,9.200000000000001,False,False,False,False,True,True,False,False,False
DSP Global Allocation Fund,500,500,1.43,70.0,9,Jay Kothari,1.15,-,10.88,-,0.67,DSP Mutual Fund,0,FoFs Overseas,0.6,7.033333333333334,False,False,False,False,True,False,False,True,False
DSP G-Sec Fund,500,500,0.54,430.0,10,Vikram Chopra,0.93,1.15,2.85,0.62,0.64,DSP Mutual Fund,4,Gilt Mutual Funds,4.4,6.3,False,True,False,False,False,False,False,False,False
DSP Healthcare Fund,500,500,1.04,1197.0,4,Vinit Sambre,2.42,6.84,17.83,0.78,1.19,DSP Mutual Fund,0,Sectoral / Thematic Mutual Funds,-3.6,11.649999999999999,False,False,False,False,True,True,False,False,False
DSP India T.I.G.E.R. Fund,500,500,1.34,1797.0,10,Rohit Singhania,3.58,10.78,17.58,0.64,1.78,DSP Mutual Fund,3,Sectoral / Thematic Mutual Funds,15.8,21.36666666666667,False,False,False,False,True,True,False,False,False
DSP Liquidity Fund,500,500,0.15,13582.0,10,Kedar Karnik,4.19,1.29,0.37,0.73,0.83,DSP Mutual Fund,3,Liquid Mutual Funds,5.6,5.066666666666666,False,True,False,False,False,False,False,False,False
DSP Low Duration Fund,500,500,0.3,3340.0,8,Karan Mundhara,3.06,2.97,0.83,1.35,1.4,DSP Mutual Fund,2,Low Duration Funds,5.1,5.633333333333333,True,False,False,False,False,False,False,False,False
DSP Midcap Fund,500,500,0.77,13213.0,10,Vinit Sambre,2.26,-6.18,15.81,0.85,1.2,DSP Mutual Fund,2,Mid Cap Mutual Funds,-3.9,8.9,False,False,False,False,True,True,False,False,False
DSP Natural Resources & New Energy – Direct Growth,500,500,1.21,673.0,10,Rohit Singhania,2.31,21.48,23.46,0.43,1.39,DSP Mutual Fund,0,Sectoral / Thematic Mutual Funds,-0.7,18.53333333333333,False,False,False,False,True,True,False,False,False
DSP Nifty 50 Equal Weight Index Fund,500,500,0.4,498.0,5,Anil Ghelani,3.22,3.52,17.4,1.01,1.51,DSP Mutual Fund,3,Index Funds,2.2,14.6,False,False,False,False,True,False,False,True,False
DSP Nifty 50 Index Fund,500,500,0.24,271.0,4,Anil Ghelani,3.43,-0.76,16.67,0.99,1.3,DSP Mutual Fund,3,Index Funds,0.9,13.35,False,False,False,False,True,False,False,True,False
DSP Nifty Next 50 Index Fund,500,500,0.32,227.0,4,Anil Ghelani,1.68,-4.59,17.93,0.97,0.97,DSP Mutual Fund,2,Index Funds,-6.3,7.75,False,False,False,False,True,False,False,True,False
DSP Overnight Fund,500,500,0.06,2754.0,4,Kedar Karnik,0.73,0.67,0.34,0.47,0.12,DSP Mutual Fund,4,Overnight Mutual Funds,5.4,4.65,False,False,False,False,False,False,False,False,False
DSP Regular Savings Fund,500,500,0.51,199.0,10,Vikram Chopra,2.68,2.26,4.28,0.61,1.55,DSP Mutual Fund,2,Conservative Hybrid Mutual Funds,3.0,6.6000000000000005,False,True,False,False,False,False,True,False,False
DSP Savings Fund,500,500,0.25,3903.0,10,Kedar Karnik,1.82,3.15,0.81,1.65,1.15,DSP Mutual Fund,2,Money Market Funds,5.0,5.400000000000001,False,True,False,False,False,False,False,False,False
DSP Short Term Fund,500,500,0.3,2821.0,10,Laukik Bagwe,1.75,4.96,1.67,2.51,0.96,DSP Mutual Fund,2,Short Duration Funds,4.1,5.633333333333333,True,False,False,False,False,False,False,False,False
DSP Small Cap Fund,500,500,0.9,8953.0,10,Vinit Sambre,3.38,4.28,18.67,0.86,1.78,DSP Mutual Fund,2,Small Cap Mutual Funds,0.7,17.366666666666667,False,False,False,False,True,True,False,False,False
DSP Strategic Bond Fund,500,500,0.47,481.0,10,Vikram Chopra,0.48,0.84,3,1.36,0.41,DSP Mutual Fund,3,Dynamic Bond,3.0,5.233333333333333,True,False,False,False,False,False,False,False,False
DSP Tax Saver Fund,500,500,0.81,10129.0,10,Rohit Singhania,3.19,2.57,16.3,0.94,1.51,DSP Mutual Fund,4,ELSS Mutual Funds,1.8,14.633333333333335,False,False,False,False,True,True,False,False,False
DSP Top 100 Equity Fund,500,500,1.27,2605.0,10,Abhishek Singh,2.98,-1.79,15.88,0.91,1.18,DSP Mutual Fund,1,Large Cap Mutual Funds,3.6,11.433333333333335,False,False,False,False,True,True,False,False,False
DSP Ultra Short Fund,500,500,0.3,2736.0,10,Kedar Karnik,3.54,2.39,0.52,1.19,1.54,DSP Mutual Fund,3,Ultra Short Duration Funds,5.5,5.3,True,False,False,False,False,False,False,False,False
DSP US Flexible Equity Fund,500,500,1.52,770.0,10,Jay Kothari,1.95,-,16.4,-,1.1,DSP Mutual Fund,0,FoFs Overseas,2.2,13.200000000000001,False,False,False,False,True,False,False,True,False
DSP World Gold Fund,500,500,1.81,777.0,10,Jay Kothari,1.11,-,36.51,-,0.4,DSP Mutual Fund,0,FoFs Overseas,-9.0,5.333333333333333,False,False,False,False,True,False,False,True,False
DSP World Mining Fund,500,500,1.5,188.0,10,Jay Kothari,1.68,-,28.33,-,1.08,DSP Mutual Fund,0,FoFs Overseas,-5.4,15.566666666666668,False,False,False,False,True,False,False,True,False
Edelweiss Aggressive Hybrid Fund,500,5000,0.36,469.0,10,Bharat Lahoti,3.83,5.57,11.66,0.79,1.72,Edelweiss Mutual Fund,4,Aggressive Hybrid Mutual Funds,6.5,14.700000000000001,False,False,False,False,True,False,True,False,False
Edelweiss Arbitrage Fund,500,5000,0.37,5393.0,9,Bhavesh Jain,1.61,1.78,0.72,0.63,1.31,Edelweiss Mutual Fund,5,Arbitrage Mutual Funds,5.8,5.5,False,False,False,False,False,False,True,False,False
Edelweiss Balanced Advantage Fund,500,5000,0.51,8780.0,10,Bhavesh Jain,3.31,2.1,9.71,0.67,1.48,Edelweiss Mutual Fund,4,Dynamic Asset Allocation or Balanced Advantage,2.9,11.133333333333333,False,False,False,False,True,False,True,False,False
Edelweiss Banking & Psu Debt Fund,500,5000,0.26,355.0,10,Dhawal Dalal,0.78,6.29,3.68,3.18,0.55,Edelweiss Mutual Fund,2,Banking and PSU Mutual Funds,3.5,6.1000000000000005,False,True,False,False,False,False,False,False,False
Edelweiss Equity Savings Fund,500,5000,0.7,258.0,8,Bharat Lahoti,3.22,2.41,5.29,0.79,1.53,Edelweiss Mutual Fund,5,Equity Savings Mutual Funds,4.4,8.5,False,False,True,False,False,False,True,False,False
Edelweiss Europe Dynamic Equity Offshore – Dir Growth,500,5000,1.5,83.0,9,Bhavesh Jain,1.64,-,19.12,-,0.93,Edelweiss Mutual Fund,0,FoFs Overseas,9.2,14.0,False,False,False,False,True,False,False,True,False
Edelweiss Flexi Cap Fund,500,5000,0.56,1056.0,8,Trideep Bhattacharya,3.41,1.91,16.02,0.92,1.46,Edelweiss Mutual Fund,3,Flexi Cap Funds,1.9,13.833333333333334,False,False,False,False,True,True,False,False,False
Edelweiss Govt Securities Fund,500,5000,0.66,119.0,9,Dhawal Dalal,1.63,1.77,2.77,0.61,0.88,Edelweiss Mutual Fund,5,Gilt Mutual Funds,4.3,6.433333333333333,False,True,False,False,False,False,False,False,False
Edelweiss Greater China Equity Off-Shore Fund,500,5000,1.44,1897.0,10,Bhavesh Jain,0.6,-,25.75,-,0.3,Edelweiss Mutual Fund,0,FoFs Overseas,-4.1,3.6666666666666665,False,False,False,False,True,False,False,True,False
Edelweiss Large & Mid Cap Fund,500,5000,0.6,1711.0,10,Abhishek Gupta,3.56,2.77,15.87,0.9,1.47,Edelweiss Mutual Fund,4,Large & Mid Cap Funds,1.2,14.066666666666668,False,False,False,False,True,True,False,False,False
Edelweiss Large Cap Fund,500,5000,0.93,399.0,10,Bharat Lahoti,3.25,0.95,15.71,0.93,1.4,Edelweiss Mutual Fund,4,Large Cap Mutual Funds,4.9,14.566666666666668,False,False,False,False,True,True,False,False,False
Edelweiss Liquid Fund,500,5000,0.15,1543.0,10,Rahul Dedhia,6.74,1.47,0.38,0.8,1.08,Edelweiss Mutual Fund,4,Liquid Mutual Funds,5.6,5.133333333333334,False,True,False,False,False,False,False,False,False
Edelweiss Long Term Equity Fund,500,500,0.69,209.0,10,Trideep Bhattacharya,3.18,0.61,15.73,0.9,1.39,Edelweiss Mutual Fund,3,ELSS Mutual Funds,0.9,12.233333333333334,False,False,False,False,True,True,False,False,False
Edelweiss Mid Cap Fund,500,5000,0.57,2530.0,10,Trideep Bhattacharya,3.85,2.21,17.63,0.96,1.73,Edelweiss Mutual Fund,4,Mid Cap Mutual Funds,4.9,18.133333333333333,False,False,False,False,True,True,False,False,False
Edelweiss Money Market Fund,500,5000,0.26,346.0,10,Dhawal Dalal,2.05,2.56,0.6,1.45,1.03,Edelweiss Mutual Fund,1,Money Market Funds,4.9,5.633333333333334,True,False,False,False,False,False,False,False,False
Edelweiss Overnight Fund,500,5000,0.1,480.0,4,Rahul Dedhia,0.08,0.63,0.33,0.47,0.01,Edelweiss Mutual Fund,2,Overnight Mutual Funds,5.3,4.6,False,False,False,False,False,False,False,False,False
Edelweiss Recently Listed IPO Fund,500,5000,0.61,859.0,5,Bhavesh Jain,1.63,0.04,17.77,0.83,1.09,Edelweiss Mutual Fund,0,Sectoral / Thematic Mutual Funds,-13.8,7.133333333333333,False,False,False,False,True,True,False,False,False
Edelweiss Small Cap Fund,500,5000,0.6,1458.0,4,Sahil Shah,4.17,8.58,17.99,0.81,1.98,Edelweiss Mutual Fund,4,Small Cap Mutual Funds,3.0,22.75,False,False,False,False,True,True,False,False,False
Edelweiss US Value Equity Offshore Fund,500,5000,1.43,90.0,10,Bhavesh Jain,2.17,-,16.38,-,1.03,Edelweiss Mutual Fund,0,FoFs Overseas,2.0,12.433333333333332,False,False,False,False,True,False,False,True,False
Franklin Build India Fund,500,5000,1.3,1184.0,10,Ajay Argal,3.18,8.05,19.06,0.71,1.6,Franklin Templeton Mutual Fund,3,Sectoral / Thematic Mutual Funds,16.0,21.8,False,False,False,False,True,True,False,False,False
Franklin India Banking & PSU Debt Fund,500,5000,0.16,712.0,9,Umesh Sharma,1.06,3.72,1.74,1.87,0.7,Franklin Templeton Mutual Fund,2,Banking and PSU Mutual Funds,4.2,5.833333333333333,True,False,False,False,False,False,False,False,False
Franklin India Bluechip Fund,500,5000,1.01,6205.0,10,Anand Radhakrishnan,2.72,0.71,16.83,0.92,1.28,Franklin Templeton Mutual Fund,2,Large Cap Mutual Funds,-1.0,11.266666666666666,False,False,False,False,True,True,False,False,False
Franklin India Corporate Debt Fund,500,10000,0.21,748.0,10,Santosh Kamath,1.65,1.68,1.8,0.56,1.02,Franklin Templeton Mutual Fund,3,Corporate Bond Mutual Funds,4.4,5.8999999999999995,True,False,False,False,False,False,False,False,False
Franklin India Debt Hybrid Fund,500,10000,0.57,246.0,10,Rajasa Kakulavarapu,2.98,1.26,3.89,0.59,1.42,Franklin Templeton Mutual Fund,3,Conservative Hybrid Mutual Funds,5.1,7.3,False,False,True,False,False,False,True,False,False
Franklin India Dynamic Asset Allocation FoFs-Dir-G,500,5000,0.46,1103.0,10,Rajasa Kakulavarapu,1.87,8.57,10.19,0.3,1.39,Franklin Templeton Mutual Fund,3,FoFs Domestic,5.9,11.1,False,False,True,False,False,False,False,True,False
Franklin India Equity Advantage Fund,500,5000,1.37,2556.0,10,R Janakiraman,3.41,2.99,17.49,0.96,1.43,Franklin Templeton Mutual Fund,2,Large & Mid Cap Funds,-0.9,12.0,False,False,False,False,True,True,False,False,False
Franklin India Equity Hybrid Fund,500,5000,1.2,1347.0,10,Rajasa Kakulavarapu,3.24,3.49,12.1,0.8,1.51,Franklin Templeton Mutual Fund,3,Aggressive Hybrid Mutual Funds,5.3,12.933333333333332,False,False,False,False,True,False,True,False,False
Franklin India Equity Savings Fund,500,5000,0.71,153.0,5,Rajasa Kakulavarapu,3.01,3.39,6.61,0.94,1.53,Franklin Templeton Mutual Fund,3,Equity Savings Mutual Funds,4.8,9.4,False,True,False,False,False,False,True,False,False
Franklin India Feeder – Franklin U.S. Opp.-Dir Growth,500,5000,0.72,2880.0,10,Sandeep Manam,0.95,-,23.08,-,0.5,Franklin Templeton Mutual Fund,0,FoFs Overseas,-12.1,5.633333333333333,False,False,False,False,True,False,False,True,False
Franklin India Flexi Cap Fund,500,5000,1.1,9989.0,10,Anand Radhakrishnan,3.27,4.83,16.63,0.93,1.6,Franklin Templeton Mutual Fund,4,Flexi Cap Funds,3.8,15.633333333333333,False,False,False,False,True,True,False,False,False
Franklin India Floating Rate Fund,500,1000,0.21,311.0,10,Pallab Roy,2.6,2.33,0.84,0.75,1.58,Franklin Templeton Mutual Fund,4,Floater Mutual Funds,5.8,5.866666666666666,True,False,False,False,False,False,False,False,False
Franklin India Focused Equity Fund,500,5000,1.16,8022.0,10,Ajay Argal,3.17,3.6,18.62,0.98,1.43,Franklin Templeton Mutual Fund,4,Focused Funds,5.1,16.3,False,False,False,False,True,True,False,False,False
Franklin India G-Sec Fund,500,10000,0.57,121.0,10,Sachin Padwal Desai,0.04,-0.49,2.35,0.52,0.04,Franklin Templeton Mutual Fund,2,Gilt Mutual Funds,3.5,4.633333333333333,False,True,False,False,False,False,False,False,False
Franklin India Liquid Fund,500,10000,0.13,1511.0,10,Pallab Roy,4.44,1.34,0.38,0.74,0.9,Franklin Templeton Mutual Fund,3,Liquid Mutual Funds,5.6,5.1,True,False,False,False,False,False,False,False,False
Franklin India Multi-Asset Solution Fund,500,5000,0.44,45.0,8,Rajasa Kakulavarapu,0.34,5.14,12.82,-0.01,0.39,Franklin Templeton Mutual Fund,1,FoFs Domestic,4.1,6.033333333333332,False,False,True,False,False,False,False,True,False
Franklin India NSE Nifty 50 Index Fund,500,5000,0.24,482.0,10,Varun Sharma,3.44,-0.79,16.58,0.99,1.3,Franklin Templeton Mutual Fund,3,Index Funds,0.9,12.700000000000001,False,False,False,False,True,False,False,True,False
Franklin India Opportunities Fund,500,5000,1.79,657.0,10,R Janakiraman,3.45,4.7,16.65,0.92,1.58,Franklin Templeton Mutual Fund,0,Sectoral / Thematic Mutual Funds,7.9,16.8,False,False,False,False,True,True,False,False,False
Franklin India Overnight Fund,500,5000,0.1,152.0,4,Pallab Roy,-0.89,0.49,0.35,0.41,-0.18,Franklin Templeton Mutual Fund,2,Overnight Mutual Funds,5.3,4.55,False,False,False,False,False,False,False,False,False
Franklin India Prima Fund,500,5000,1.06,7359.0,10,R Janakiraman,3.06,-4.41,17.67,0.96,1.36,Franklin Templeton Mutual Fund,2,Mid Cap Mutual Funds,4.5,13.700000000000001,False,False,False,False,True,True,False,False,False
Franklin India Savings Fund,500,10000,0.1,1084.0,10,Umesh Sharma,3.34,2.67,0.63,1.29,1.5,Franklin Templeton Mutual Fund,3,Money Market Funds,5.3,5.533333333333334,True,False,False,False,False,False,False,False,False
Franklin India Smaller Companies Fund,500,5000,1.03,7308.0,10,R Janakiraman,3.36,7.03,17.83,0.81,1.91,Franklin Templeton Mutual Fund,2,Small Cap Mutual Funds,10.5,20.166666666666668,False,False,False,False,True,True,False,False,False
Franklin India Taxshield – Direct Growth,500,500,1.12,4584.0,10,R Janakiraman,3.21,2.88,16.91,0.95,1.49,Franklin Templeton Mutual Fund,3,ELSS Mutual Funds,4.9,15.200000000000001,False,False,False,False,True,True,False,False,False
Franklin India Technology Fund,500,5000,1.22,712.0,10,Anand Radhakrishnan,1.91,3.66,19.22,0.73,1.24,Franklin Templeton Mutual Fund,0,Sectoral / Thematic Mutual Funds,-11.9,11.299999999999999,False,False,False,False,True,True,False,False,False
HDFC Arbitrage Fund,100,100,0.43,5886.0,9,Arun Agarwal,0.99,1.24,0.7,0.5,0.82,HDFC Mutual Fund,2,Arbitrage Mutual Funds,5.6,5.1000000000000005,False,False,False,False,False,False,True,False,False
HDFC Balanced Advantage Fund,100,100,0.88,51042.0,10,Gopal Agrawal,3.38,7.38,14.82,0.88,1.6,HDFC Mutual Fund,4,Dynamic Asset Allocation or Balanced Advantage,14.4,18.866666666666667,False,False,False,False,True,False,True,False,False
HDFC Banking and PSU Debt Fund,100,100,0.39,4805.0,9,Anil Bamboli,1.74,3.4,2.02,1.06,0.98,HDFC Mutual Fund,4,Banking and PSU Mutual Funds,4.3,6.1000000000000005,True,False,False,False,False,False,False,False,False
HDFC Capital Builder Value Fund,100,100,1.04,5227.0,10,Gopal Agrawal,3.26,3.69,16.41,0.95,1.53,HDFC Mutual Fund,2,Value Funds,-0.7,14.766666666666666,False,False,False,False,True,True,False,False,False
